Pincode	City	State	is_oda	Zone
110001	Delhi	Delhi	No	N1
110002	Delhi	Delhi	No	N1
110003	Delhi	Delhi	No	N1
110004	Delhi	Delhi	No	N1
110005	Delhi	Delhi	No	N1
110006	Delhi	Delhi	No	N1
110007	Delhi	Delhi	No	N1
110008	Delhi	Delhi	No	N1
110009	Delhi	Delhi	No	N1
110010	Delhi	Delhi	No	N1
110011	Delhi	Delhi	No	N1
110012	Delhi	Delhi	No	N1
110013	Delhi	Delhi	No	N1
110014	Delhi	Delhi	No	N1
110015	Delhi	Delhi	No	N1
110016	Delhi	Delhi	No	N1
110017	Delhi	Delhi	No	N1
110018	Delhi	Delhi	No	N1
110019	Delhi	Delhi	No	N1
110020	Delhi	Delhi	No	N1
110021	Delhi	Delhi	No	N1
110022	Delhi	Delhi	No	N1
110023	Delhi	Delhi	No	N1
110024	Delhi	Delhi	No	N1
110025	Delhi	Delhi	No	N1
110026	Delhi	Delhi	No	N1
110027	Delhi	Delhi	No	N1
110028	Delhi	Delhi	No	N1
110029	Delhi	Delhi	No	N1
110030	Delhi	Delhi	No	N1
110031	Delhi	Delhi	No	N1
110032	Delhi	Delhi	No	N1
110033	Delhi	Delhi	No	N1
110034	Delhi	Delhi	No	N1
110035	Delhi	Delhi	No	N1
110036	Delhi	Delhi	No	N1
110037	Delhi	Delhi	No	N1
110038	Delhi	Delhi	No	N1
110039	Delhi	Delhi	No	N1
110040	Delhi	Delhi	No	N1
110041	Delhi	Delhi	No	N1
110042	Delhi	Delhi	No	N1
110043	Delhi	Delhi	No	N1
110044	Faridabad	Delhi	No	N1
110045	Delhi	Delhi	No	N1
110046	Delhi	Delhi	No	N1
110047	Delhi	Delhi	No	N1
110048	Delhi	Delhi	No	N1
110049	Delhi	Delhi	No	N1
110050	Delhi	Delhi	No	N1
110051	Delhi	Delhi	No	N1
110052	Delhi	Delhi	No	N1
110053	Delhi	Delhi	No	N1
110054	Delhi	Delhi	No	N1
110055	Delhi	Delhi	No	N1
110056	Delhi	Delhi	No	N1
110057	Delhi	Delhi	No	N1
110058	Delhi	Delhi	No	N1
110059	Delhi	Delhi	No	N1
110060	Delhi	Delhi	No	N1
110061	Delhi	Delhi	No	N1
110062	Faridabad	Delhi	No	N1
110063	Delhi	Delhi	No	N1
110064	Delhi	Delhi	No	N1
110065	Delhi	Delhi	No	N1
110066	Delhi	Delhi	No	N1
110067	Delhi	Delhi	No	N1
110068	Delhi	Delhi	No	N1
110069	Delhi	Delhi	No	N1
110070	Delhi	Delhi	No	N1
110071	Delhi	Delhi	No	N1
110072	Delhi	Delhi	No	N1
110073	Delhi	Delhi	No	N1
110074	Delhi	Delhi	No	N1
110075	Delhi	Delhi	No	N1
110076	Delhi	Delhi	No	N1
110077	Delhi	Delhi	No	N1
110078	Delhi	Delhi	No	N1
110079	Delhi	Delhi	No	N1
110080	Faridabad	Delhi	No	N1
110081	Delhi	Delhi	No	N1
110082	Delhi	Delhi	No	N1
110083	Delhi	Delhi	No	N1
110084	Delhi	Delhi	No	N1
110085	Delhi	Delhi	No	N1
110086	Delhi	Delhi	No	N1
110087	Delhi	Delhi	No	N1
110088	Delhi	Delhi	No	N1
110089	Delhi	Delhi	No	N1
110090	Delhi	Delhi	No	N1
110091	Delhi	Delhi	No	N1
110092	Delhi	Delhi	No	N1
110093	Delhi	Delhi	No	N1
110094	Delhi	Delhi	No	N1
110095	Delhi	Delhi	No	N1
110096	Delhi	Delhi	No	N1
110097	Delhi	Delhi	No	N1
110098	Delhi	Delhi	No	N1
110099	Delhi	Delhi	No	N1
110100	Delhi	Delhi	No	N1
110101	Delhi	Delhi	No	N1
110102	Delhi	Delhi	No	N1
110103	Delhi	Delhi	No	N1
110104	Delhi	Delhi	No	N1
110105	Delhi	Delhi	No	N1
110106	Delhi	Delhi	No	N1
110107	Delhi	Delhi	No	N1
110108	Delhi	Delhi	No	N1
110109	Delhi	Delhi	No	N1
110110	Delhi	Delhi	No	N1
110112	Delhi	Delhi	No	N1
110113	Delhi	Delhi	No	N1
110114	Delhi	Delhi	No	N1
110115	Delhi	Delhi	No	N1
110116	Delhi	Delhi	No	N1
110117	Delhi	Delhi	No	N1
110118	Delhi	Delhi	No	N1
110119	Delhi	Delhi	No	N1
110120	Delhi	Delhi	No	N1
110121	Delhi	Delhi	No	N1
110122	Delhi	Delhi	No	N1
110124	Delhi	Delhi	No	N1
110125	Delhi	Delhi	No	N1
110301	Delhi	Delhi	No	N1
110302	Delhi	Delhi	No	N1
110401	Delhi	Delhi	No	N1
110402	Delhi	Delhi	No	N1
110403	Delhi	Delhi	No	N1
110501	Delhi	Delhi	No	N1
110502	Delhi	Delhi	No	N1
110503	Delhi	Delhi	No	N1
110504	Delhi	Delhi	No	N1
110505	Delhi	Delhi	No	N1
110506	Delhi	Delhi	No	N1
110507	Delhi	Delhi	No	N1
110508	Delhi	Delhi	No	N1
110509	Delhi	Delhi	No	N1
110510	Delhi	Delhi	No	N1
110511	Delhi	Delhi	No	N1
110512	Delhi	Delhi	No	N1
110601	Delhi	Delhi	No	N1
110602	Delhi	Delhi	No	N1
110603	Delhi	Delhi	No	N1
110604	Delhi	Delhi	No	N1
110605	Delhi	Delhi	No	N1
110606	Delhi	Delhi	No	N1
