Pincode,City,State,is_oda,Zone
764085,Nabarangapur,Odisha,No,East2
637202,Tiruchengode,Tamil Nadu,No,South2
382715,Kadi,Gujarat,ODA,Guj2
574324,Bantwal,Karnataka,ODA,
202150,Aligarh,Uttar Pradesh,No,North2
636452,Mettur,Tamil Nadu,ODA,South2
517507,Tirupati,Andhra Pradesh,No,South2
638110,Erode,Tamil Nadu,No,South2
636401,Mettur,Tamil Nadu,ODA,South2
764078,Nabarangapur,Odisha,No,East2
761131,Bhanjanagar,Odisha,No,East2
212128,Aligarh,Uttar Pradesh,No,North2
805127,Sirdala,Bihar,ODA,East2
508257,Devarakonda,Telangana,ODA,
605802,Sankarapuram,Tamil Nadu,ODA,South2
761119,Bhanjanagar,Odisha,ODA,East2
754137,Tirtol,Odisha,ODA,East2
735211,Cooch Behar,West Bengal,ODA,
638476,Erode,Tamil Nadu,No,South2
637205,Erode,Tamil Nadu,No,South2
385505,Deesa,Gujarat,ODA,Guj2
574211,Bantwal,Karnataka,ODA,
212622,Khaga,Uttar Pradesh,ODA,North2
303010,Phulera,Rajasthan,ODA,North2
205130,Shikohabad,Uttar Pradesh,No,North2
501142,Tandur-TL,Telangana,ODA,
205147,Shikohabad,Uttar Pradesh,No,North2
175105,Jari,Himachal Pradesh,No,
212653,Khaga,Uttar Pradesh,ODA,North2
464884,Begumganj,Madhya Pradesh,No,Central2
563115,Bangarapet,Karnataka,ODA,
303340,Phulera,Rajasthan,ODA,North2
754136,Tirtol,Odisha,ODA,East2
679533,Sankaramangalam,Kerala,ODA,Kerala
623206,Karaikudi,Tamil Nadu,No,South2
401609,Dahanu,Maharashtra,ODA,Mah2
761126,Bhanjanagar,Odisha,ODA,East2
637201,Tiruchengode,Tamil Nadu,No,South2
731123,Dubrajpur,West Bengal,ODA,
461445,Itarsi,Madhya Pradesh,ODA,Central2
761200,Paralakhemundi,Odisha,No,East2
176061,Palampur,Himachal Pradesh,No,
205145,Shikohabad,Uttar Pradesh,No,North2
445204,Pusad,Maharashtra,No,Mah2
637304,Erode,Tamil Nadu,No,South2
303339,Phulera,Rajasthan,ODA,North2
761124,Bhanjanagar,Odisha,ODA,East2
382145,Kadi,Gujarat,ODA,Guj2
250606,Baghpat,Uttar Pradesh,ODA,North2
385530,Deesa,Gujarat,ODA,Guj2
274304,Padrauna,Uttar Pradesh,No,North2
415610,Sangameshwar,Maharashtra,No,Mah2
393041,Dediapada,Gujarat,No,Guj2
493996,Gariyaband,Chhattisgarh,No,Central2
176083,Palampur,Himachal Pradesh,ODA,
517526,Tirupati,Andhra Pradesh,No,South2
533247,Razole,Andhra Pradesh,ODA,South2
713378,Dubrajpur,West Bengal,ODA,
176064,Palampur,Himachal Pradesh,No,
574231,Bantwal,Karnataka,ODA,
303328,Phulera,Rajasthan,ODA,North2
385540,Deesa,Gujarat,ODA,Guj2
636303,Mettur,Tamil Nadu,ODA,South2
274506,Salempur,Uttar Pradesh,ODA,North2
303604,Phulera,Rajasthan,ODA,North2
382165,Kadi,Gujarat,ODA,Guj2
110302,Delhi,Delhi,No,North1
576126,Karkala,Karnataka,ODA,
581324,Karwar,Karnataka,No,
250622,Baraut,Uttar Pradesh,ODA,North2
803216,Bihar Sharif,Bihar,No,East2
182101,Udhampur,Jammu and Kashmir,No,
638706,Dharapuram,Tamil Nadu,ODA,South2
516006,Cuddapah,Andhra Pradesh,No,South2
212652,Khaga,Uttar Pradesh,ODA,North2
560008,Bangalore,Karnataka,No,South1
630005,Karaikudi,Tamil Nadu,No,South2
202127,Aligarh,Uttar Pradesh,No,North2
713385,Dubrajpur,West Bengal,ODA,
303331,Phulera,Rajasthan,No,North2
761133,Bhanjanagar,Odisha,ODA,East2
781325,Tihu,Assam,ODA,NE
274508,Salempur,Uttar Pradesh,ODA,North2
637503,Tiruchengode,Tamil Nadu,No,South2
205135,Shikohabad,Uttar Pradesh,ODA,North2
401103,Palghar,Maharashtra,No,Mah1
505475,Jammikunta,Telangana,No,
743702,Kolkata,West Bengal,No,East1
394307,Valsad,Gujarat,ODA,Guj2
560075,Bangalore,Karnataka,No,South1
754292,Chandipur,Odisha,ODA,East2
415629,Ratnagiri,Maharashtra,ODA,Mah2
322701,Sawai Madhopur,Rajasthan,ODA,North2
606402,Sankarapuram,Tamil Nadu,ODA,South2
761212,Paralakhemundi,Odisha,No,East2
344001,Barmer,Rajasthan,No,North2
761120,Bhanjanagar,Odisha,ODA,East2
713409,Balagarh,West Bengal,ODA,
761208,Paralakhemundi,Odisha,No,East2
262202,Bisalpur,Uttar Pradesh,No,North2
312202,Kapasan,Rajasthan,ODA,North2
385011,Palanpur,Gujarat,ODA,Guj2
501141,Tandur-TL,Telangana,ODA,
515871,Rayadurgam,Andhra Pradesh,ODA,South2
828130,Dhanbad,Jharkhand,No,East2
335061,Raisinghnagar,Rajasthan,No,North2
678651,Palakkad,Kerala,No,Kerala
281204,Vrindavan,Uttar Pradesh,No,North2
232118,ChakiaUP,Uttar Pradesh,No,North2
242123,Khutar,Uttar Pradesh,ODA,North2
160050,Mohali,Chandigarh,No,
534198,Bhimavaram,Andhra Pradesh,No,South2
581305,Karwar,Karnataka,ODA,
